ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0036294	cellular response to decreased oxygen levels	54/4549	167/18860	0.323353293413174	1.34061180781984	2.4926467714031	0.00964622823351065	0.0449616943420103	0.0310976844950528	ACAA2/AK4/ANKRD1/AQP1/BMP7/BNIP3/CA3/CCNA2/CCNB1/CFLAR/CHCHD2/CITED2/CPEB4/CYBB/DDAH1/DDR2/DNMT3A/DRAM1/DRD2/E2F1/EDN1/EGLN3/ENO1/EPAS1/ERO1A/FAM162A/FOS/GATA6/GNGT1/HILPDA/HYOU1/IRAK1/JUND/KCND2/KCNK2/KCNK3/MT3/NDNF/NDRG1/NGB/PDK1/PGK1/PMAIP1/PPARG/PRKCE/PTGIS/RGCC/SOX2/STC2/SUV39H1/SUV39H2/TREM2/TRPC6/TWIST1	54
BP	GO:0002679	respiratory burst involved in defense response	9/4549	17/18860	0.529411764705882	2.19492325397954	2.77889256816565	0.00967725752820954	0.0449616943420103	0.0310976844950528	HCK/LBP/LIPA/NCF1/PIK3CG/PRDX2/RPS19/S100A9/TREM2	9
BP	GO:0015697	quaternary ammonium group transport	9/4549	17/18860	0.529411764705882	2.19492325397954	2.77889256816565	0.00967725752820954	0.0449616943420103	0.0310976844950528	SLC16A9/SLC22A1/SLC22A3/SLC22A4/SLC25A20/SLC44A4/SLC6A12/SLC6A14/SLC6A20	9
BP	GO:0021783	preganglionic parasympathetic fiber development	9/4549	17/18860	0.529411764705882	2.19492325397954	2.77889256816565	0.00967725752820954	0.0449616943420103	0.0310976844950528	ACKR3/ADARB1/EGR2/HES1/NRP1/SEMA3F/SIX1/TBX1/TFAP2A	9
BP	GO:0046112	nucleobase biosynthetic process	9/4549	17/18860	0.529411764705882	2.19492325397954	2.77889256816565	0.00967725752820954	0.0449616943420103	0.0310976844950528	ADA/CAD/CTPS1/GART/GMPS/HPRT1/PAICS/PPAT/UMPS	9
BP	GO:0050665	hydrogen peroxide biosynthetic process	9/4549	17/18860	0.529411764705882	2.19492325397954	2.77889256816565	0.00967725752820954	0.0449616943420103	0.0310976844950528	CYBB/DUOX1/DUOX2/DUOXA1/DUOXA2/FYN/MAOB/MPV17L/NCF1	9
BP	GO:0051382	kinetochore assembly	9/4549	17/18860	0.529411764705882	2.19492325397954	2.77889256816565	0.00967725752820954	0.0449616943420103	0.0310976844950528	CENPA/CENPE/CENPF/CENPH/CENPK/CENPW/CENPX/DLGAP5/KNTC1	9
BP	GO:0060841	venous blood vessel development	9/4549	17/18860	0.529411764705882	2.19492325397954	2.77889256816565	0.00967725752820954	0.0449616943420103	0.0310976844950528	ACVRL1/APLNR/BMPR2/CCBE1/ENG/FOXF1/HEG1/NKX2-5/PITX2	9
BP	GO:0060856	establishment of blood-brain barrier	9/4549	17/18860	0.529411764705882	2.19492325397954	2.77889256816565	0.00967725752820954	0.0449616943420103	0.0310976844950528	ABCB1/ADGRA2/ADGRG6/FOXP3/FZD4/LSR/MFSD2A/RECK/WNT7A	9
BP	GO:0072074	kidney mesenchyme development	9/4549	17/18860	0.529411764705882	2.19492325397954	2.77889256816565	0.00967725752820954	0.0449616943420103	0.0310976844950528	AMER1/BASP1/BMP7/FOXD1/OSR1/SIX1/SIX2/SIX4/TCF21	9
BP	GO:0072087	renal vesicle development	9/4549	17/18860	0.529411764705882	2.19492325397954	2.77889256816565	0.00967725752820954	0.0449616943420103	0.0310976844950528	GDNF/GREM1/KIF26B/LIF/OSR1/SALL1/SIX2/SMO/SOX9	9
BP	GO:0072224	metanephric glomerulus development	9/4549	17/18860	0.529411764705882	2.19492325397954	2.77889256816565	0.00967725752820954	0.0449616943420103	0.0310976844950528	AGTR2/AQP1/CD34/EGR1/LAMB2/LGR4/OSR1/PDGFB/TCF21	9
BP	GO:0045840	positive regulation of mitotic nuclear division	19/4549	47/18860	0.404255319148936	1.67602886769596	2.61617897160399	0.00969106309444818	0.0449616943420103	0.0310976844950528	ANAPC11/ANAPC7/AURKA/CDC20/DLGAP5/EDN1/EGF/ESPL1/HOXA13/IL1B/NUP62/PDGFB/SKA1/SKA3/SMPD3/SPHK1/TGFA/UBE2C/USP44	19
BP	GO:0060071	Wnt signaling pathway, planar cell polarity pathway	19/4549	47/18860	0.404255319148936	1.67602886769596	2.61617897160399	0.00969106309444818	0.0449616943420103	0.0310976844950528	ARHGEF19/CELSR2/CELSR3/CTHRC1/DAB2/DKK1/DVL3/FZD6/FZD7/NKD1/PRICKLE1/PRICKLE2/RSPO3/SPEF1/VANGL1/VANGL2/WNT5A/WNT7A/WNT7B	19
BP	GO:0010976	positive regulation of neuron projection development	52/4549	160/18860	0.325	1.34743899758189	2.4882846429589	0.00983094187893237	0.0455771986302081	0.0315233970585992	ALKAL2/AMIGO1/ANKRD1/APBB1/ATP1B2/BCL11A/BDNF/BMP5/BMP7/CAMK2B/CFLAR/CNTN1/COBL/CX3CL1/DBN1/DDR1/DDR2/EHD1/EPHB2/EZH2/FES/FYN/GPC2/ITGA6/ITPKA/KAT2B/KDM1A/LRP8/LTK/MDK/NDNF/NEGR1/NTRK2/P3H1/PACSIN1/PLXNB3/PRKD1/PTK6/RAP1A/RAPGEF2/RGMA/RGS2/S100A9/SCARF1/SERPINI1/STMN2/TENM3/TOX/TUBB2B/TWF1/WNT5A/ZDHHC15	52
BP	GO:0006636	unsaturated fatty acid biosynthetic process	23/4549	60/18860	0.383333333333333	1.58928702278889	2.57754280076846	0.00990135764922673	0.0458363948611456	0.0317026697201383	ACSL4/AKR1C3/ALOX12/ALOX15B/CBR1/CD74/CTHRC1/EDN1/EDN2/EHHADH/ELOVL2/ELOVL4/ELOVL6/HPGDS/HSD17B4/IL1B/PLA2G10/PLA2G4F/PTGDS/PTGES/PTGES2/PTGIS/TBXAS1	23
BP	GO:0019748	secondary metabolic process	23/4549	60/18860	0.383333333333333	1.58928702278889	2.57754280076846	0.00990135764922673	0.0458363948611456	0.0317026697201383	AKR1B10/AKR1C1/AKR1C2/AKR1C3/AKR1C4/AKR7A3/BDH2/CDH3/CYP2D6/CYP2W1/FMO1/FMO2/PRKCE/RAB38/RAPGEF2/SLC7A11/SULT1C4/TYRP1/UGT1A10/UGT1A7/UGT1A8/WNT5A/ZEB2	23
BP	GO:0051092	positive regulation of NF-kappaB transcription factor activity	29/4549	80/18860	0.3625	1.5029127280721	2.54139478576096	0.0100209217682329	0.0463559331284508	0.032062007537723	AGER/AIM2/ARHGEF2/BTK/CARD11/CARD14/CARD16/CD40LG/CLU/CRNN/HSPA1B/IL18R1/IL18RAP/IRAK1/MAP3K13/NLRC4/NLRP3/NOD1/PRKCQ/PRKCZ/PRKD1/RHEBL1/RIPK4/ROR1/RTKN2/SPHK1/TLR2/TLR4/TNFSF18	29
BP	GO:0001912	positive regulation of leukocyte mediated cytotoxicity	26/4549	70/18860	0.371428571428571	1.53993028295073	2.55155905331203	0.0101153241585788	0.0466900901081514	0.0322931266821107	B2M/CADM1/CD1C/CD1E/CRTAM/F2RL1/FADD/HLA-DRA/HLA-DRB1/HLA-E/IL12RB1/IL18RAP/IL23A/ITGAM/NCR3/P2RX7/POMC/PTPRC/RAET1G/RAET1L/SPI1/STAT5A/TYROBP/ULBP2/ULBP3/XCL1	26
BP	GO:0002823	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	26/4549	70/18860	0.371428571428571	1.53993028295073	2.55155905331203	0.0101153241585788	0.0466900901081514	0.0322931266821107	ASCL2/C4BPA/C4BPB/CD69/CR1/FOXJ1/FOXP3/HAVCR2/IL1RL1/IL20RB/IL33/IL4I1/IL7R/LILRB1/NCKAP1L/PTPRC/SMAD7/SPN/STAT5A/SUSD4/TBX21/TNFSF18/TNFSF4/USP5/XCL1/YWHAG	26
BP	GO:0014015	positive regulation of gliogenesis	26/4549	70/18860	0.371428571428571	1.53993028295073	2.55155905331203	0.0101153241585788	0.0466900901081514	0.0322931266821107	BMP2/CLCN2/E2F1/EGR2/HDAC1/HDAC2/HES1/ID2/IL1B/IL6/IL6ST/LIF/LRP2/MDK/MYRF/NKX6-1/NTN1/PLAG1/PTPRZ1/QKI/SERPINE2/SLC7A5/TENM4/TNFRSF1B/TP73/ZNF488	26
BP	GO:0014808	release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	18/4549	44/18860	0.409090909090909	1.69607705989328	2.60616744284401	0.0101353591820487	0.0467143214233155	0.032309886232766	AKAP6/ANK2/ATP1A2/CACNA1C/CALML3/CASQ2/CCL3/CLIC2/GSTM2/JPH2/JPH3/JPH4/PDE4D/PLN/RYR1/RYR2/SLC8A1/TMEM38B	18
BP	GO:0032309	icosanoid secretion	18/4549	44/18860	0.409090909090909	1.69607705989328	2.60616744284401	0.0101353591820487	0.0467143214233155	0.032309886232766	ACE/ACSL4/DRD2/DRD4/EDN1/IL1B/LEP/NMB/P2RX7/PLA2G10/PLA2G12B/PLA2G1B/PLA2G2A/PLA2G4F/PLA2G5/PLA2R1/PTGES/TNFSF11	18
BP	GO:0043087	regulation of GTPase activity	46/4549	139/18860	0.330935251798561	1.37204635060911	2.48211692085208	0.0102580679446667	0.0472454310075429	0.0326772273333253	ADCYAP1/ARHGAP11A/ARHGAP44/ARHGEF16/ARHGEF5/DOCK10/DOCK11/DOCK8/DOCK9/ECT2/EPHB3/EZH2/F2RL1/FGD1/FGD2/FGD3/FGD4/FGD5/ITGA6/LRRK2/NET1/NGEF/NTRK2/PLXNB3/PRKG1/PROM2/RAB11FIP2/RALGAPA2/RANGAP1/RAP1A/RAP1GAP/RAPGEF2/RAPGEF3/RASGRP2/RASIP1/RCC2/RGS16/RIPOR1/RIPOR2/RTN4R/SCRIB/SH3BP1/STMN1/SYDE2/TBC1D7/TGM2	46
BP	GO:0045639	positive regulation of myeloid cell differentiation	38/4549	111/18860	0.342342342342342	1.41933976183262	2.49816308673926	0.0103276897331804	0.0475314431347173	0.0328750471669145	CCR1/CD101/CD4/CD74/CSF1/CSF3/DCSTAMP/ETS1/EVI2B/FADD/FAXDC2/FES/FOS/GATA2/HLA-DRB1/HMGB2/HOXA5/HSPA1B/ID2/IL23A/INPP5D/JAG1/LEF1/LIF/MTURN/NCKAP1L/NEDD9/PF4/PRKDC/PRMT1/RHEX/STAT5A/TAL1/TM4SF19/TNFSF11/TREM2/TRIB1/TYROBP	38
