gene	conMean	treatMean	logFC	pValue	fdr
APBA2	2.75101960784314	9.35474716242661	1.76573223874814	2.41084950737327e-11	5.04712035959785e-11
APBB1	33.6533039215686	9.50372954990215	-1.82418246204848	3.33086095651641e-28	4.30746683658315e-27
APBB1IP	29.3962294117647	9.9490782778865	-1.56299633571723	1.34656778385739e-25	1.05147551474023e-24
APBB2	18.6645960784314	8.23177005870842	-1.18102969899897	3.28906832073663e-23	1.83798474330568e-22
APCDD1L	0.156317647058824	3.87879530332681	4.63305608035098	1.23559487160166e-23	7.27508345464196e-23
APELA	0.162160784313725	1.58480998043053	3.28881299397533	4.56852799411059e-11	9.36101023652862e-11
APEX2	26.4427058823529	55.2914469667319	1.06418651184337	1.3337759049911e-25	1.04208961187991e-24
APH1B	17.5553960784314	7.8366782778865	-1.16360037030272	7.64270092458688e-28	9.05123729674101e-27
APLN	84.2193980392157	10.0800213307241	-3.0626538720519	1.94787923169658e-20	8.07439898898849e-20
APLNR	31.4804921568627	10.3517771037182	-1.60457963728196	2.51652250275967e-14	6.36842929892377e-14
APLP2	648.16697254902	318.296518786693	-1.02599413148873	4.99710195032547e-24	3.10759435427656e-23
APOBEC3B	2.23290980392157	27.6968023483366	3.63272254255965	1.19615764246254e-27	1.34802373379689e-26
APOBR	43.4934803921569	9.82805068493151	-2.14582195627719	9.90229948983299e-28	1.13393507559148e-26
APOC1	199.076609803922	70.7160872798434	-1.49321336605667	4.21829896578594e-21	1.87895923250003e-20
APOH	20.1033294117647	1.22753150684932	-4.03360249350523	2.29897534470808e-30	6.48416743017695e-29
APOL3	52.0245745098039	15.6270277886497	-1.73514985234067	1.74866829365922e-26	1.5941162678572e-25
APOLD1	39.6397137254902	8.26367397260274	-2.2620913018716	1.42716795832182e-21	6.64881108368185e-21
APOO	10.8814549019608	26.2574673189824	1.27085630222496	4.77165290140536e-24	2.97424738111306e-23
AQP1	1166.08976666667	123.125516242661	-3.24347717415989	2.80832586338308e-31	1.69264319113995e-29
AQP11	1.06918431372549	3.05227769080235	1.51337564527181	5.55968568499653e-20	2.21028611405e-19
AQP4	314.89901372549	17.5087146771037	-4.16874415505338	9.28603787510841e-32	1.57735813812225e-29
AQP5	24.5060843137255	10.7090563600783	-1.19430862159945	7.24027800523073e-15	1.90862420587518e-14
AQP9	44.3484078431373	9.98337984344423	-2.15128208763951	1.09799641456661e-24	7.50586136650555e-24
AR	4.04191764705882	1.49008845401174	-1.43964195361623	7.63109090271128e-21	3.31172682414986e-20
ARAP3	28.7474058823529	11.6671802348337	-1.30097584799208	9.87207071473413e-24	5.89487200924525e-23
ARC	12.0347901960784	1.48891017612524	-3.01488236548044	5.74090144093552e-26	4.77265457845261e-25
AREG	155.563231372549	61.6103258317025	-1.33625703737216	5.39433008607247e-13	1.24942272245779e-12
ARFGEF3	19.6484156862745	6.684071037182	-1.5556140168091	6.23488298279928e-24	3.83320378646508e-23
ARG2	3.78847843137255	9.54362309197652	1.332918533204	3.59421946827385e-11	7.41527460898002e-11
ARHGAP11A	1.60678039215686	14.0553641878669	3.12887616956721	4.86723509745054e-31	2.20511882720402e-29
ARHGAP15	8.94396470588235	3.40877025440313	-1.39166312767462	1.45002539109458e-23	8.44919844849716e-23
ARHGAP18	81.5196078431373	20.5958264187867	-1.98479509502149	2.86357199463336e-30	7.59549813350589e-29
ARHGAP20	5.6866568627451	1.7633469667319	-1.68926437766191	2.92153552451832e-24	1.86760698936893e-23
ARHGAP25	25.0766862745098	10.9140604696673	-1.20015877557096	2.97625751380034e-24	1.90077827312291e-23
ARHGAP29	24.3662450980392	4.77881585127202	-2.35015886471628	6.61297958743147e-29	1.02153132047955e-27
ARHGAP30	62.0608294117647	21.7908876712329	-1.50995801076961	1.30610777130914e-26	1.21612381292681e-25
