conMean	treatMean	logFC	pValue	fdr
ACVRL1	137.377605882353	15.8603563600783	-3.11464975570163	7.03375290821728e-32	1.57735813812225e-29
ADA2	73.7641274509804	27.0143305283757	-1.44919445421346	3.71753526831484e-24	2.3475417987614e-23
ADAM33	4.85625098039216	1.88566692759295	-1.36476811488401	8.3999818910312e-19	3.00339394890922e-18
ADAMTS1	106.808778431373	32.3003863013699	-1.72540690027854	1.12485993458919e-19	4.32424088180201e-19
ADAMTS8	49.0688823529412	1.64533659491194	-4.89835375260426	9.48808505244818e-32	1.57735813812225e-29
ADAMTS9	11.4736607843137	3.7257324853229	-1.62272977597964	1.40478484007319e-15	3.91293586255996e-15
ADAMTSL2	24.6429352941176	7.81922583170254	-1.65607642908715	1.17494823037145e-23	6.93009002107687e-23
ADAMTSL3	13.0567235294118	2.26215048923679	-2.52902609788348	1.74384924728479e-27	1.90791804599611e-26
ADAMTSL4	39.5118509803922	8.35476242661448	-2.24161472272889	1.80269198589232e-28	2.50650826897691e-27
ADARB1	26.8664823529412	6.25902759295499	-2.10179699912263	6.95780981082266e-29	1.06747034381724e-27
ADCY4	12.3854274509804	2.25006614481409	-2.46060434248921	2.47475177475749e-30	6.79101072651975e-29
ADCY9	30.3858235294118	9.92828219178082	-1.61378236602642	2.69719571262558e-28	3.5492046117113e-27
ADCYAP1	2.63112549019608	1.05801428571429	-1.31432095134848	4.60999243360671e-07	7.37260220873302e-07
ADGRA2	24.3952509803922	11.4286542074364	-1.09394479834598	1.39298062421788e-14	3.59385274365863e-14
ADGRD1	19.8866117647059	1.43444559686888	-3.79323233578208	7.6622216546838e-32	1.57735813812225e-29
ADGRE1	12.4969549019608	2.00606340508806	-2.63913748960075	8.68626991925787e-25	6.02023489628018e-24
ADGRE3	6.53314509803922	0.752291193737769	-3.11841457416339	4.86373088517751e-27	4.89701673195479e-26
ADGRE5	165.698429411765	30.7358661448141	-2.43056488162023	2.27161132716739e-31	1.62727026226264e-29
ADGRF5	264.913625490196	20.4420099804305	-3.69591308602225	8.43632168025603e-32	1.57735813812225e-29
ADGRG6	24.1489215686275	9.42032015655577	-1.35811076644848	1.00966429610089e-19	3.90140152100544e-19
ADGRL2	23.5157607843137	7.57085557729941	-1.63509975463591	1.12743727112053e-21	5.33153435985929e-21
ADGRL4	28.5529392156863	6.60704363992172	-2.11156248410643	7.32058107385774e-29	1.11931104278769e-27
ADH1B	140.367435294118	4.53876223091977	-4.95076555176529	8.52575535541748e-32	1.57735813812225e-29
ADHFE1	2.10087647058824	1.03709412915851	-1.01844449292844	1.81515333667435e-14	4.63346288493863e-14
ADPRH	32.0877196078431	9.28630469667319	-1.78884474097616	1.17781498867868e-30	3.88794135993908e-29
ADRA1B	3.26966862745098	0.840137964774951	-1.96044626244763	4.53444421151116e-25	3.27027410788527e-24
ADRB1	30.5031529411765	2.70899804305284	-3.49312711727356	1.17203514623504e-29	2.28996331538629e-28
ADRB2	68.1078509803922	8.85834755381605	-2.94271160424724	7.18855881477653e-31	2.83779919761105e-29
AFAP1L1	26.2957196078431	6.5279060665362	-2.01013577523048	9.61100478561163e-28	1.10526555034534e-26
AFF3	7.86400196078431	0.826753620352251	-3.24973431829415	3.99470881365886e-30	9.70010138367055e-29
AGER	3176.11112156863	53.2465136986301	-5.89843050988625	7.26324236290851e-32	1.57735813812225e-29
AGR3	241.953496078431	30.1940530332681	-3.00239345341181	7.9375797090076e-29	1.19871659565225e-27
AGRP	24.8028294117647	1.07966438356164	-4.52184988538118	1.61481696516144e-31	1.57735813812225e-29
AGTPBP1	27.3521823529412	13.2549802348337	-1.04512142721799	5.95418991001028e-24	3.66564149453027e-23
AGTR1	8.51940588235294	1.12442230919765	-2.92156884173219	2.74646207634212e-30	7.34319264463633e-29
AGTR2	38.9852529411765	3.90716731898239	-3.31873355158985	1.83951236751488e-25	1.41109411783059e-24
AHCYL2	90.1082705882353	18.0959180039139	-2.31599523256403	4.81609851239619e-31	2.19669412215746e-29
AHNAK	434.622307843137	164.817153228963	-1.39889582777104	1.16755289718522e-21	5.50388675450337e-21
AIF1	163.904539215686	57.4862056751468	-1.51156809413975	9.28385593899804e-27	8.87058308792728e-26
AK1	24.3992588235294	4.86671917808219	-2.32581588869156	4.52048508087166e-31	2.12652781623752e-29
AK7	8.32928039215686	2.10592622309198	-1.98373696407769	9.847819308548e-20	3.81289888936155e-19
AKAP12	57.5428823529412	11.5931244618395	-2.31136804888438	4.58058663032697e-25	3.29826667178904e-24
AKAP13	57.1018882352941	19.1380876712329	-1.57709177407604	2.72104831558897e-27	2.88811897081499e-26
AKAP14	7.0032	1.0719686888454	-2.70775152238643	1.51256509017337e-13	3.62913475785155e-13
AKAP5	3.78529607843137	1.36909491193738	-1.46718368510107	3.41042857076208e-23	1.90268149628806e-22
AKAP6	2.22933333333333	0.900698043052838	-1.30749691468531	1.4227940835012e-20	5.98602147751627e-20
