conMean	treatMean	logFC	pValue	fdr
BID	20.9143352941176	47.8570477495108	1.19423925476541	9.93010303004985e-20	3.84364452433208e-19
BIK	5.95362745098039	45.6595745596869	2.93907656440448	3.48156922944425e-27	3.59913217203115e-26
BIRC5	3.21791764705882	85.178124853229	4.72628365994921	1.16212934805098e-31	1.57735813812225e-29
BLACAT1	0.550454901960784	3.80064285714286	2.78754718720963	5.05969021692208e-15	1.34788629871083e-14
BLCAP	28.9941431372549	60.6887718199609	1.06566812159355	2.07219062355958e-18	7.11692841736909e-18
BLM	1.00632941176471	7.58612700587084	2.91426089113375	2.37364680117876e-30	6.60756226685645e-29
BLMH	21.6460490196078	47.3012301369863	1.12777398470949	6.10775665989696e-10	1.16568875693057e-09
BMP7	2.99713921568627	56.7303919765166	4.24246382927388	4.55840602476204e-21	2.02510825075065e-20
BMP8A	1.41729411764706	5.63943894324853	1.99241246066987	1.87955344334491e-19	7.09020705185796e-19
BMP8B	2.70559607843137	5.60040861056751	1.0495856174871	1.72724205946714e-05	2.49299711833075e-05
BNC1	2.67944705882353	31.0250072407045	3.53342433073728	1.05598800637857e-20	4.51741372308936e-20
BNIP3	21.4010431372549	55.9895105675147	1.38747545008774	1.34820710528697e-12	3.04587418481917e-12
BOLA1	18.3911156862745	38.3035154598826	1.05846780473752	1.2426058770665e-17	4.02023051672054e-17
BOLA2B	0.656476470588235	1.39848884540117	1.09105353854347	1.0272566911483e-12	2.34154863872922e-12
BOLA3	2.87544901960784	8.82548904109589	1.61788896409006	3.97555776632287e-25	2.88725150097499e-24
BOP1	18.2972764705882	84.0297888454012	2.19927193793092	1.44011235174951e-29	2.71549676829192e-28
BORA	2.33874901960784	8.27812093933464	1.82356627710198	3.12395114655563e-27	3.26949336663935e-26
BRCA1	2.38982941176471	10.2239195694716	2.09696884582139	3.72152422224355e-26	3.20845430389782e-25
BRCA2	1.17973333333333	3.49474970645793	1.56672834369599	2.45748414530479e-21	1.1152434771684e-20
BRDT	0.0194254901960784	3.62007162426614	7.54192342650119	8.15576678503139e-05	0.000112472939085504
BRF2	6.50461960784314	13.7777025440313	1.08279874090692	7.44608462041901e-11	1.50628911878909e-10
